paper_id,epoch,input_variant,perspective,model,task,discipline,experimental,dependent_variable,main_predictor,sample_definition,model_specification,controls,operationalization_notes,type_of_statistic,test_statistic,dof_1,dof_2,sample_size,p_value,llm_cohens_d,original_cohens_d,d_difference,within_strict,within_broad,conclusion,reasoning,submission_valid,score_value,log_file
Fuhrmann_JournConflictRes_2010_8Wy0,4,full,neutral,openrouter/openai/gpt-5.5,reanalysis,political science,False,considered attack against a proliferating state's nuclear program (consider = 1),prior violent militarized conflict in the dyad (hostileMID = 1 for use of force or war),Politically relevant directed dyad-years in the original dataset for 1941-2000 with nonmissing considered-attack and violent-conflict measures.,Bivariate 2x2 Pearson chi-square test of independence between considered attack and prior violent conflict.,none,"The paper's research design identifies directed dyad-years among politically relevant attackers and proliferating targets as the unit of analysis, and treats considered attack as the indicator that a proliferation threat became salient enough for serious military consideration. I used the authors' violent-conflict indicator as the focal prior-conflict measure and tested the unadjusted association directly.",chi2,154.98530876878925,1.0,,5602,1.4106012580994575e-35,0.334,0.0773,0.25670000000000004,False,False,same conclusion,"In politically relevant directed dyad-years from 1941-2000, considered attacks were much more frequent following violent militarized conflict: 28/563 conflict dyad-years (4.97%) versus 13/5039 non-conflict dyad-years (0.26%). The Pearson chi-square test was chi2(1, N=5602)=154.99, p=1.41e-35, supporting a positive relationship between prior violent conflict and salience/consideration of targeting nuclear programs.",yes,I,results/agentic_logs/multi100/rq1_gpt55/2026-06-16T14-56-19-00-00_reanalysis_B2kJL4MfC4an9aoESNpEkY.eval
GROSSMAN_AmPoliSciRev_2014_LyWB,4,full,neutral,openrouter/openai/gpt-5.5,reanalysis,political science,False,Indicator that the county became part of a new splinter district in the electoral wave,DEC share ratio: county share of seats on the District Executive Committee divided by county population share; lower values indicate greater political marginalization,"County-wave observations for the three district-creation waves corresponding to 1996-2000, 2001-2005, and 2006-2010, restricted to complete cases on the dependent variable, DEC share ratio, marginalization controls, number of counties in district, lagged breakup, region indicators, and wave indicators",Population-averaged logistic regression using generalized estimating equations with an exchangeable within-county correlation structure and robust standard errors clustered by county,"Ethnic marginalization, development summary index, number of counties in the district, lagged breakup indicator, region indicators, and electoral-wave indicators","The paper identifies DEC representation relative to population as its primary measure of political marginalization and models splinter status at the county-wave level; I used the same outcome and core covariate set, with GEE to account for repeated observations of counties over waves.",z,-3.0224416184574103,,,472,0.002507444447788902,-0.28,0.3857,-0.10569999999999996,False,True,same conclusion,"In a county-wave logistic GEE model, the DEC share ratio coefficient was negative and statistically significant (z = -3.02, p = 0.0025; N = 472). Because lower DEC representation relative to population indicates greater political marginalization, this result implies that politically marginalized counties were more likely to become splinter districts.",yes,C,results/agentic_logs/multi100/rq1_gpt55/2026-06-16T14-56-19-00-00_reanalysis_B2kJL4MfC4an9aoESNpEkY.eval
Gartzke_JournConflictRes_2009_rym8,4,full,neutral,openrouter/openai/gpt-5.5,reanalysis,political science,False,Dichotomous diplomatic recognition: State B recognizes State A (recog1duml),State A nuclear weapons status (nukeduma),"Directed dyads with nonmissing diplomatic-recognition outcome and covariates for 1945-2000, using the observed COW diplomatic-recognition intervals rather than interpolated annual recognition values.","Probit regression of dichotomous recognition on State A nuclear status, State B nuclear status, their interaction, controls, and four BKT-style temporal-dependence spline terms based on years since prior recognition within the directed dyad.",State B nuclear status; Nuclear A × Nuclear B; rivalry status A; rivalry status B; dyadic rivalry; CINC A; CINC B; CINC A × CINC B; democracy A; democracy B; Democracy A × Democracy B; contiguity; logged distance; alliance; temporal-dependence splines.,"This follows the paper's Table 2 setup for the part of the claim about being recognized by other nations: State B recognizing State A is modeled in directed dyads, with Nuclear Weapons A as the focal predictor and the same substantive controls used in the paper's diplomatic-recognition analysis.",z,6.0923901392389395,,,213454,1.1123718156344077e-09,0.026,0.0218,0.004199999999999999,True,True,same conclusion,"In a probit model of whether State B recognizes State A, the coefficient for State A nuclear-weapons status was positive (b = 0.1442) with z = 6.09, p = 1.11e-9, among 213,454 directed dyad-period observations. This supports the claim that nuclear-capable states are more likely to be recognized by other nations, conditional on the included dyadic and monadic covariates.",yes,C,results/agentic_logs/multi100/rq1_gpt55/2026-06-16T14-56-19-00-00_reanalysis_B2kJL4MfC4an9aoESNpEkY.eval
Gerber_BritJournPoliSci_2018_3WmY,4,full,neutral,openrouter/openai/gpt-5.5,reanalysis,political science,False,Log absolute opinion change on the pro-immigration index between wave 2 and wave 3 (change_w3w2_log),Group-level deliberative quality: mean level of justification rationality in speech acts (DQ_jlev),EuroPolis participants in the 13 discussion groups with coded DQI justification data and complete data on the opinion-change outcome and covariates; N = 174 individuals nested in 13 groups.,Linear mixed-effects regression estimated by REML with a random intercept for discussion group; main test is the Wald z statistic for DQ_jlev.,"Knowledge change; reported clarification from other participants, experts, politicians, and briefing material; social conformity pressure above and below the respondent's wave-2 position; gender/female, age, education, Catholic, Protestant, working class, religiosity, left-right ideology and squared term, intended left-party vote, and intended right-party vote.","The paper's deliberative-influence section treats justification rationality as a group resource and tests whether it predicts the magnitude, rather than direction, of immigration opinion change from pre- to post-deliberation; I followed that specification using the supplied SANDERS replication data.",z,1.9651107531805618,,,174,0.049401420300912886,0.302,0.3016,0.00040000000000001146,True,True,same conclusion,"In a REML random-intercept linear model for the log absolute change in immigration opinion from wave 2 to wave 3, the group-level mean justification-rationality coefficient was positive (b = 0.130) with z = 1.97, p = 0.049. Thus participants in groups with more rational justification showed greater opinion change, supporting the published claim.",yes,C,results/agentic_logs/multi100/rq1_gpt55/2026-06-16T14-56-19-00-00_reanalysis_B2kJL4MfC4an9aoESNpEkY.eval
Goerg_JournLabEco_2010_WLpV,4,full,neutral,openrouter/openai/gpt-5.5,reanalysis,economics,True,Matching-group mean effort: proportion of individual decisions coded work=1 across all six periods,Reward scheme under complementarity: symmetrical 444COM versus discriminating 345COM,"All observations from complementarity treatments 345COM and 444COM were included; individual-period observations were aggregated to 23 independent matching groups (12 in 345COM, 11 in 444COM).","One-sided Wilcoxon rank-sum/Mann-Whitney test comparing matching-group mean effort, testing 444COM < 345COM; z statistic computed from the rank-sum with tie-corrected variance and no continuity correction.",None,"The paper identifies matching groups as the independent units and compares mean effort across reward schemes within the complementarity production technology, so I used group-level mean effort over the repeated rounds to directly operationalize the claim about lower efforts.",z,-1.8460383653190253,,,23,0.03244331750952267,-0.849,0.3539,0.4951,False,False,same conclusion,"Using independent matching groups as the unit of analysis, mean effort was lower in the symmetrical complementarity treatment 444COM (M = 0.722, 11 groups) than in the cost-equivalent discriminating complementarity treatment 345COM (M = 0.917, 12 groups). A one-sided Wilcoxon rank-sum normal-approximation test gave z = -1.846, p = 0.032, supporting the claim that symmetrical rewards elicit lower effort under complementarity.",yes,I,results/agentic_logs/multi100/rq1_gpt55/2026-06-16T14-56-19-00-00_reanalysis_B2kJL4MfC4an9aoESNpEkY.eval
Grose_AmJourPoliSci_2015_E0Q3,4,full,neutral,openrouter/openai/gpt-5.5,reanalysis,political science,True,"Anti-minus-pro immigration action balance in each senator response letter, coded 1 for mentioning anti-immigration action(s) but not pro-immigration action(s), 0 for mentioning neither or both, and -1 for mentioning pro-immigration action(s) but not anti-immigration action(s).","Constituent letter position: anti-immigration versus pro-immigration, compared within senator.",U.S. senators in the study who responded to both the pro-immigration and anti-immigration constituent letters; N=56 paired senators.,Paired within-senator sign test on the change in anti-minus-pro action balance from the pro-immigration letter response to the anti-immigration letter response; reported as the asymptotic chi-square equivalent.,None; the analysis uses the within-subject paired experimental design.,The paper's first experiment directly tests tailoring by comparing each senator's explanations to pro- and anti-immigration audiences. I used the combined anti-minus-pro action balance because it captures whether senators shifted emphasis toward actions congruent with the constituent audience.,chi2,10.285714285714286,1.0,,56,0.0013406411172294797,0.91,0.5911,0.3189000000000001,False,False,same conclusion,"Among the 56 senators who replied to both letters, the within-senator anti-minus-pro action balance shifted in the expected direction for 13 senators and in the opposite direction for 1 senator. The sign-test chi-square equivalent was χ²(1)=10.29, p=0.0013, indicating that senators were significantly more likely to emphasize actions matching the constituent audience's immigration position.",yes,I,results/agentic_logs/multi100/rq1_gpt55/2026-06-16T14-56-19-00-00_reanalysis_B2kJL4MfC4an9aoESNpEkY.eval
Hendricks_QuartJournEco_2018_wNKW,4,full,neutral,openrouter/openai/gpt-5.5,reanalysis,economics,False,"log wage gain at migration, log(lastUsWageAdjusted) - log(lastHomeWageAdjusted)","education category indicator for no high school (<9 years of schooling), compared with college degree (>=16 years, reference category)","All 2,854 observations in the provided Migration Project wage_gain_table.xlsx with positive adjusted pre-migration and U.S. wages, nonmissing years of schooling, and nonmissing country.","Ordinary least squares regression of log wage gain on education-category indicators (no high school, some high school, high school graduate, some college; college degree omitted) and country fixed effects; reported statistic is the t test for the no-high-school coefficient.",Country fixed effects and indicators for the other education categories.,"The paper states that this claim is based on comparing log wage gains by education category, controlling for country fixed effects, with college graduates as the omitted group. I applied that specification to the provided public wage-gain file and used the paper's education cutoffs (<9, 9-11, 12, 13-15, >=16 years).",t,1.5209719454688786,2840.0,,2854,0.12837820033551062,0.057,0.28,-0.22300000000000003,False,False,no effect or inconclusive,"In an OLS regression of log wage gain on education categories with college degree as the reference and country fixed effects, the coefficient for no high school was positive (0.197 log points) but not statistically significant, t(2840)=1.52, p=0.128. Thus this analysis does not provide clear evidence that immigrants with no high-school exposure gained more than college graduates in this sample.",yes,I,results/agentic_logs/multi100/rq1_gpt55/2026-06-16T14-56-19-00-00_reanalysis_B2kJL4MfC4an9aoESNpEkY.eval
Hertel_ClinPsychSci_2018_YabW,4,full,neutral,openrouter/openai/gpt-5.5,reanalysis,psychology,True,"Percentage of free-association responses categorized as connoting the learned negative meaning of the cue, combined across homographic and nonhomographic cues",Cue status: baseline learned-but-not-practiced cues versus learned-and-suppressed cues,Experiment 2 nonruminator participants in the provided final dataset with nonmissing baseline and suppression free-association percentages (Group = 1; N = 27),"Repeated-measures contrast of baseline vs suppressed cue status, implemented as an OLS model on participant-level difference scores (FAbaseC - FAsuppC) with intercept tested against zero and counterbalancing condition included as a between-subjects factor",Counterbalancing condition (CB),"The claim concerns nonruminators' beneficial suppression effects on a transfer task; the provided dataset contains Experiment 2 free-association transfer-task outcomes, and the paper identifies the baseline-minus-suppressed learned-meaning percentage as the indirect forgetting measure.",F,10.940801768294627,1.0,24.0,27,0.0029559015198941307,1.35,0.719,0.6310000000000001,False,False,same conclusion,"Among nonruminators in Experiment 2, learned-meaning free-association responses were lower for suppressed cues (M = 29.63%) than for baseline cues (M = 45.68%). A within-person baseline-vs-suppressed test controlling for counterbalancing condition was significant, F(1, 24) = 10.94, p = .00296, supporting a beneficial suppression effect in the transfer task.",yes,I,results/agentic_logs/multi100/rq1_gpt55/2026-06-16T14-56-19-00-00_reanalysis_B2kJL4MfC4an9aoESNpEkY.eval
Huijts_EurSocioRev_2013_OY3B,4,full,neutral,openrouter/openai/gpt-5.5,reanalysis,sociology,False,"Psychological well-being: mean of eight recoded CES-D items, scaled 0-3 with higher values indicating better well-being",Interaction of parental status (living with children vs childless reference) with standardized country-level percentage disapproving/strongly disapproving of voluntary childlessness,"Women aged over 40 in the 24 European countries in the Huijts ESS dataset, including childless, living-with-children, and empty-nest respondents, with listwise complete data on the model variables (N = 13,713).","Linear mixed-effects regression with respondents nested in countries; random intercepts and random slopes by country for living-with-children and empty-nest parental-status indicators; fixed effects for living with children, empty nest, country-level disapproval, and their interactions. The reported statistic is the Wald z test for the living-with-children × country disapproval interaction.","Age, age squared, marital status, respondent education, parental education, religious attendance, paid employment, born in country, individual attitude toward childlessness, and individual social contact frequency; empty-nest status and its interaction with country disapproval were included but not used as the main result.","The paper estimated sex-specific multilevel models and found cross-national variation especially among women, so I used the women-only model. Tolerant norms were operationalized as low country-level disapproval of voluntary childlessness; a positive interaction with disapproval directly tests that the childless disadvantage is larger where norms are less tolerant and smaller where norms are more tolerant.",z,4.686208795382519,,,13713,2.7831233959663138e-06,0.08,0.8642,-0.7842,False,False,same conclusion,"In the women-only multilevel model, the interaction between living with children and country-level disapproval of childlessness was positive and statistically significant (b = 0.0760 per SD of disapproval, z = 4.69, p = 2.78e-6). Thus, as societal disapproval increases, the well-being advantage of women living with children over childless women increases; equivalently, the childless disadvantage is smaller in more tolerant countries.",yes,I,results/agentic_logs/multi100/rq1_gpt55/2026-06-16T14-56-19-00-00_reanalysis_B2kJL4MfC4an9aoESNpEkY.eval
Hurst_EvoHumanBehavior_2017_yypJ,4,full,neutral,openrouter/openai/gpt-5.5,reanalysis,psychology,False,DSM5_Total: summed DSM-5 Self-Rated Level 1 Cross-Cutting Symptom Measure total psychopathology severity,"MiniK_Total life-history strategy score, with lower scores indicating faster life strategy and higher scores indicating slower life strategy","All 138 participants in the final dataset with complete DSM5_Total, MiniK_Total, and Age data; no additional exclusions",Ordinary least squares regression of DSM5_Total on MiniK_Total and Age; main result is the t test for the MiniK_Total coefficient,Age,"The paper's main analyses tested life history strategy and psychopathology using partial correlations controlling for age because age correlated with outcomes. I operationalized the same association as the equivalent age-adjusted OLS coefficient test using the Mini-K, described in the methods as the stronger behavioral measure of life history strategy.",t,-6.95114024873419,135.0,,138,1.406672106076896e-10,-1.197,1.1965,0.000500000000000167,True,True,same conclusion,"In an age-adjusted linear regression, Mini-K life-history score significantly predicted DSM-5 total psychopathology symptoms, t(135) = -6.95, p = 1.41e-10. Because higher Mini-K scores indicate slower life strategy, the negative coefficient means faster life strategy was associated with greater psychopathology symptoms.",yes,C,results/agentic_logs/multi100/rq1_gpt55/2026-06-16T14-56-19-00-00_reanalysis_B2kJL4MfC4an9aoESNpEkY.eval
Ihme_JournExpPoliSci_2018_xYbO,4,full,neutral,openrouter/openai/gpt-5.5,reanalysis,political science,True,"PolWis_score, the 0-20 political knowledge test score (sum of correct answers)",Stereotypaktivierung condition: stereotype not activated vs. stereotype activated by gender difference statement,"Study 2 observations selected by the dataset filter (gender_alle < 3, honesty = 1, citizen = 1; N=377 in full analytic sample), restricted to female participants (gender_factor = 1) in conditions 0 and 2; n = 143.",Pooled independent-samples t-test comparing female participants in the first and third stereotype-activation conditions on political knowledge score.,none,"The claim is a simple pairwise statement about female participants' political-knowledge performance in condition 1 versus condition 3, so I tested that contrast directly using the filtered Study 2 analytic sample and the paper's political knowledge score.",t,2.5676824848175714,141.0,,143,0.011279299404680015,0.432,0.4143,0.017699999999999994,True,True,same conclusion,"Among eligible female participants, mean political knowledge was higher in the stereotype-not-activated condition (M = 8.90, n = 73) than in the gender-difference-statement condition (M = 7.03, n = 70). A pooled independent-samples t-test gave t(141) = 2.57, two-sided p = 0.011, supporting the claimed directional difference.",yes,C,results/agentic_logs/multi100/rq1_gpt55/2026-06-16T14-56-19-00-00_reanalysis_B2kJL4MfC4an9aoESNpEkY.eval
Jiang_AmJourPoliSci_2018_Rjp9,4,full,neutral,openrouter/openai/gpt-5.5,reanalysis,political science,False,GDP growth rate at t+2 (f2gdpidx),Indicator equal to 1 if either the city party secretary or mayor was connected to the incumbent provincial party secretary,"City-year observations for mainland prefecture/subprovincial cities from 2000-2011, excluding Tibet; observations included when required model variables were available, yielding 3,693 observations in 326 cities.",OLS fixed-effects regression with city fixed effects and province-by-year fixed effects; robust standard errors clustered by city.,"Net fiscal transfer at t+1; predecessor-term starting GDP growth, log GDP, log population, and log fixed asset investment for both secretary and mayor; city secretary and mayor age, college education, gender, and tenure-category indicators.","This follows the paper's baseline specification for the main economic-growth claim, using overall GDP growth two years after the connection status measurement as the outcome and the combined secretary/mayor connection indicator as the focal predictor.",t,2.8681677830306525,325.0,,3693,0.004398446941872116,0.318,0.336,-0.018000000000000016,True,True,same conclusion,"In a city and province-year fixed-effects regression, the coefficient for being connected to the incumbent provincial secretary was positive (0.3823 percentage points) with a cluster-robust t statistic of 2.87 (df = 325, p = 0.0044). This supports the claim that connected city leaders delivered faster subsequent GDP growth.",yes,C,results/agentic_logs/multi100/rq1_gpt55/2026-06-16T14-56-19-00-00_reanalysis_B2kJL4MfC4an9aoESNpEkY.eval
Kleven_AmEcoRev_2013_Jg9v,4,full,neutral,openrouter/openai/gpt-5.5,reanalysis,economics,False,"Top-quality status among foreign players (top-quality foreign player-year vs lower-quality foreign player-year, where top quality follows the paper's national-team-selection definition used in Figure 3).",Post-reform period for Denmark's preferential foreigner tax scheme (1991-2008 vs 1985-1990).,Foreign player-year counts in Denmark's first league from 1985-2008 in basesynthetic_control.dta; pre-reform years 1985-1990 and post-reform years 1991-2008; observations classified using stop and slow counts.,Pearson chi-square test of independence on a 2x2 table: period (pre vs post Danish tax scheme) by foreign-player ability category (top vs lower quality).,None.,"The paper's Denmark case study uses 1985-1990 as the pre-reform period and 1991-2008 as post-reform, and separates foreign players into top- and lower-quality categories in Figure 3; I therefore tested whether the composition of Danish foreign players shifted toward top-quality players across the reform threshold.",chi2,12.274230816465801,1.0,,388,0.00045925590880084837,0.359,1.2187,-0.8596999999999999,False,False,same conclusion,"Among foreign player-year observations in Denmark, the top-quality share rose from 4/24 = 16.7% in 1985-1990 to 195/364 = 53.6% in 1991-2008. A 2x2 chi-square test of top-versus-lower quality by pre/post reform period was significant, chi-square(1, N=388) = 12.27, p = 0.00046, supporting a shift in the ability composition of foreigners toward higher-ability players after the Danish tax scheme.",yes,I,results/agentic_logs/multi100/rq1_gpt55/2026-06-16T14-56-19-00-00_reanalysis_B2kJL4MfC4an9aoESNpEkY.eval
Ku_JournEnvPsych_2014_YpZZ,4,full,neutral,openrouter/openai/gpt-5.5,reanalysis,psychology,False,"Willingness-to-pay scale, computed as the mean of the three environmental-payment items including the reverse-scored not-my-money item",Intrinsic-relative-to-extrinsic values group: top quartile of I/E scores versus bottom quartile of I/E scores,Study 1 university-student participants with I/E scores in the upper quartile (I/E >= approximately .61; n = 46) or lower quartile (I/E <= approximately .22; n = 35); middle 74 participants were excluded for this contrast,Independent-samples pooled-variance t-test comparing mean willingness-to-pay scores between upper- and lower-quartile I/E groups,none,"The paper's Study 1 results section operationalized the willingness-to-pay hypothesis by contrasting relative intrinsic and relative extrinsic groups defined from the upper and lower quartiles of the I/E score, so I used the same contrast and recomputed the test from the original SAV data.",t,4.872752708096548,79.0,,81,5.564933231408476e-06,1.096,1.0965,-0.0004999999999999449,True,True,same conclusion,"Using the Study 1 data, participants in the top quartile of intrinsic-relative-to-extrinsic values had higher willingness-to-pay scores (M = 4.01) than those in the bottom quartile (M = 3.30), t(79) = 4.87, p = 5.56e-6. This supports the claim that greater endorsement of intrinsic relative to extrinsic values is associated with greater willingness to pay to protect the environment.",yes,C,results/agentic_logs/multi100/rq1_gpt55/2026-06-16T14-56-19-00-00_reanalysis_B2kJL4MfC4an9aoESNpEkY.eval
Kucik_BritJournPoliSci_2016_L22B,4,full,neutral,openrouter/openai/gpt-5.5,reanalysis,political science,False,Logged disputed-product imports into the defendant/respondent market after the dispute,Indicator that the trade partner was a complainant in the dispute,"Observations from disputes that ended in early settlement/private mutually agreed solution, using the non-missing estimation sample for the baseline early-settlement model (N = 6,027).",OLS linear regression with dispute fixed effects and standard errors clustered by combined dispute identifier.,"Logged respondent GDP, logged partner GDP, democratic-pair indicator, logged disputed imports in the pre-dispute baseline year, and logged total bilateral imports.","This follows the paper's Model 2 operationalization for Hypothesis 1: within early settlements, compare post-dispute trade flows of complainants with those of non-complainant WTO members while controlling for market size, baseline disputed trade, total bilateral trade, and dispute fixed effects.",z,2.384426163658205,,,6027,0.017105780297447026,0.061,0.7216,-0.6606000000000001,False,False,same conclusion,"In a fixed-effects regression for early-settlement disputes, the complainant indicator was positive (coefficient = 0.4301) and statistically significant using dispute-clustered standard errors (z = 2.384, p = 0.0171). This indicates that complainants had higher post-dispute disputed-product imports into respondent markets than other WTO members under private early settlements.",yes,I,results/agentic_logs/multi100/rq1_gpt55/2026-06-16T14-56-19-00-00_reanalysis_B2kJL4MfC4an9aoESNpEkY.eval
Liang_JournPoliEco_2018_q8xv,4,full,neutral,openrouter/openai/gpt-5.5,reanalysis,economics,False,entre_wage: country-year entrepreneurship rate for businesses up to 42 months old that pay wages,medage_20_64: median age of the population aged 20-64,"All nonmissing GEM country-year observations in GEM_Country_Year.dta, survey years 2001-2010; N=393 country-year observations from 82 countries",Weighted least squares linear regression with analytic weights equal to nobs_cy and cluster-robust standard errors by countryid; test is the t test for the median-age coefficient,Survey year fixed effects (year dummy variables),"This directly follows the paper's country-year specification for corollary 3/Table 2, using the primary entrepreneurship measure and median working-age age as the demographic predictor.",t,-5.712245302486489,81.0,,393,1.783839518960485e-07,-1.269,1.2694,-0.000400000000000178,True,True,same conclusion,"In a weighted country-year regression of the early-stage wage-paying entrepreneurship rate on median working-age population age and year indicators, the coefficient on median age was negative (b = -0.00732) with a cluster-robust t(81) = -5.71, p = 1.78e-7. Thus, countries/years with lower median ages had higher new business formation rates, consistent with the published claim.",yes,C,results/agentic_logs/multi100/rq1_gpt55/2026-06-16T14-56-19-00-00_reanalysis_B2kJL4MfC4an9aoESNpEkY.eval
Linkenauger_PsychologSci_2009_7WjP,4,full,neutral,openrouter/openai/gpt-5.5,reanalysis,psychology,False,perceived arm length divided by actual arm length ratio for each arm,arm side (right vs left) within right-handed participants,Experiment 1 participants coded as right-handed in the dataset; all 15 right-handed participants with right and left arm-length ratios included,"paired-samples t-test comparing RatioRight minus RatioLeft, with directional alternative RatioRight > RatioLeft",none,"The Experiment 1 methods define perceived arm-length accuracy as perceived length divided by actual length and the target claim concerns the right-versus-left arm comparison specifically among right-handed participants, so I tested that within-subject difference directly.",t,2.1231997626917947,14.0,,15,0.026023446635445157,1.135,1.1349,9.999999999998899e-05,True,True,same conclusion,"Among right-handed participants, the perceived/actual arm-length ratio was higher for the right arm (M = 0.970) than for the left arm (M = 0.920). A directional paired-samples t-test on the within-participant ratio difference was t(14) = 2.123, one-tailed p = 0.026, supporting the claim that right-handed participants perceived their right arms as longer than their left arms.",yes,C,results/agentic_logs/multi100/rq1_gpt55/2026-06-16T14-56-19-00-00_reanalysis_B2kJL4MfC4an9aoESNpEkY.eval
Liu_JournMarket_2015_9DZl,4,full,neutral,openrouter/openai/gpt-5.5,reanalysis,marketing/org behavior,True,"dv_index3: mean of three 1-7 items measuring how appreciated, valued, and satisfied participants felt after the note",Acknowledgment condition: verbal acknowledgment without monetary benefit vs. financial acknowledgment with $.05,"Study 1a hotel field-study participants with exclude = 0 and non-missing condition and dv_index3; two participants who left before dependent-variable questions were excluded, leaving N = 49.","Independent-samples t-test comparing dv_index3 between the $.05 financial acknowledgment group and the verbal acknowledgment group, with the statistic signed as financial minus verbal; equivalent to a one-way ANOVA with two groups.",none,"The available dataset is Study 1a, which directly tests the target trivialization claim in a real hotel customer-feedback context. The paper’s methods identify the three-item felt-appreciation index as the dependent variable and acknowledgment type as the randomized treatment.",t,-2.915261559009207,47.0,,49,0.005429581058237356,-0.85,0.8505,-0.000500000000000056,True,True,same conclusion,"Among completed Study 1a participants, the $.05 financial acknowledgment group reported lower felt appreciation (M = 4.38) than the verbal acknowledgment group (M = 5.57). The independent-samples test was significant, t(47) = -2.92, p = .0054, supporting the claim that a small financial acknowledgment can produce less positive outcomes than a verbal acknowledgment.",yes,C,results/agentic_logs/multi100/rq1_gpt55/2026-06-16T14-56-19-00-00_reanalysis_B2kJL4MfC4an9aoESNpEkY.eval
Lu_JournLabEco_2015_vaWE,4,full,neutral,openrouter/openai/gpt-5.5,reanalysis,economics,True,s_tot: standardized combined midterm and final exam score,avg5_girl: proportion female among the five neighboring peers (desk mate plus neighbor-4 peers),"Female students (girl = 1), excluding favored/nonrandom seat assignments (special1 = 0), and retaining complete cases for outcome, peer measures, block fixed effect, classroom cluster, and covariates","OLS regression of standardized exam score on share female in neighbor 5 and average baseline score of neighbor 5, with randomization-block fixed effects; standard error for the main coefficient clustered by classroom with small-sample correction","Baseline test score, height, age, birth order, mother's education, father's education, baseline interest in Chinese, math, and English, desk mate favored-status indicator, share favored among neighbor-4 peers, average baseline score of neighbor-5 peers, and randomization-block fixed effects",The paper states that the all-female versus all-male microenvironment claim is evaluated using the female-sample regression with the combined neighbor-5 peer measure; moving from five male to five female neighbors corresponds to increasing avg5_girl from 0 to 1.,t,2.451306809251323,11.0,,245,0.03217112927423731,1.478,1.6699,-0.19189999999999996,False,True,same conclusion,"Among female, non-favored students with complete covariates (N = 245), the coefficient on the share female among neighbor-5 peers was 0.211 standardized exam-score units. Using classroom-clustered standard errors with 12 classroom clusters, this gave t(11) = 2.45, p = 0.032, supporting the claim that female students score higher when surrounded by females rather than males.",yes,C,results/agentic_logs/multi100/rq1_gpt55/2026-06-16T14-56-19-00-00_reanalysis_B2kJL4MfC4an9aoESNpEkY.eval
Luttrell_JournExpSocPsych_2016_rjb,4,full,neutral,openrouter/openai/gpt-5.5,reanalysis,psychology,False,"Absolute attitude change toward alcohol from Time 1 to the one-year follow-up, computed as |mean T1 attitude - mean T3 attitude|; higher values indicate less stability/greater instability.",Interaction between Time 1 overall attitude certainty (mean of cert1-cert7) and Time 1 objective ambivalence computed as (positive + negative)/2 - |positive - negative|.,Study 2 participants with non-missing Time 1 and one-year follow-up (T3) attitude items; N=135.,"Ordinary least squares regression predicting absolute attitude change from mean-centered certainty, mean-centered objective ambivalence, their product interaction, and attitude extremity.","Time 1 attitude extremity, computed as |mean Time 1 attitude - 4|.","I used the Study 2 alcohol dataset because the paper describes it as a longitudinal replication with a one-year delay, and followed the paper's specified construction of attitude change, certainty, objective ambivalence, and extremity covariate. The interaction term is the primary test of the claim that the certainty-stability relationship varies as ambivalence decreases.",t,3.4176583621590892,130.0,,135,0.0008437305797033201,0.599,0.3511,0.24789999999999995,False,False,same conclusion,"In Study 2 respondents with one-year follow-up data, the certainty × objective ambivalence interaction significantly predicted absolute attitude change, t(130)=3.42, p=0.00084. Because the outcome is instability and the interaction coefficient was positive (B=0.0745), the slope of certainty became more negative as ambivalence decreased, consistent with greater certainty being associated with greater stability for less ambivalent attitudes.",yes,I,results/agentic_logs/multi100/rq1_gpt55/2026-06-16T14-56-19-00-00_reanalysis_B2kJL4MfC4an9aoESNpEkY.eval
Marshall_BritJournPoliSci_2015_GOYb,4,full,neutral,openrouter/openai/gpt-5.5,reanalysis,political science,False,"Aggregate electoral turnout (% of registered voters, with U.S. measured as VAP turnout)","Portfolio Equity Stock (log), a foreign-ownership globalization measure","Complete-case lower legislative chamber election observations for OECD countries in 1970-2007 with nonmissing turnout, lagged turnout, portfolio equity stock, controls, and country-specific trend variables; 232 elections in 23 countries.","Dynamic fixed-effects OLS regression of turnout on lagged turnout and log portfolio equity stock, with country fixed effects and country-specific quadratic time trends; standard errors clustered by country and t test evaluated with 23-1 cluster degrees of freedom.","Registered voters (log), percent VAP age 30-69, years since last election, U.S. mid-term election dummy, compulsory voting, mixed electoral system, PR system, vote-seat disproportionality, effective number of parties by seats, and margin/closeness of victory.","The paper's main turnout analysis uses dynamic panel models with these controls and country-specific trends; I used the paper's noted fixed-effects OLS with lagged dependent variable and clustered standard errors as a directly comparable single test of the direct ownership-constraint hypothesis, focusing on portfolio equity stock because it is the most mobile ownership measure highlighted by the authors.",t,-2.64353627725852,22.0,,232,0.014838648494634985,-1.127,0.5384,0.5886,False,False,same conclusion,"In a dynamic country fixed-effects turnout model, the coefficient on log portfolio equity stock was negative (b = -2.235) with a cluster-robust t(22) = -2.644, p = 0.0148. This supports the directional claim that greater foreign ownership is associated with lower electoral turnout.",yes,I,results/agentic_logs/multi100/rq1_gpt55/2026-06-16T14-56-19-00-00_reanalysis_B2kJL4MfC4an9aoESNpEkY.eval
